"date","state","avgnewcases","new_case"
2021-10-01,"AK",1195.9,1005
2021-10-01,"AL",2088.4,1418
2021-10-01,"AR",1008.1,857
2021-10-01,"AS",0,0
2021-10-01,"AZ",2646.8,3642
2021-10-01,"CA",7770.3,7869
2021-10-01,"CO",1941.5,2389
2021-10-01,"CT",488.4,721
2021-10-01,"DC",161.9,178
2021-10-01,"DE",447.8,620
2021-10-01,"FL",5722.1,4609
2021-10-01,"FSM",0,0
2021-10-01,"GA",3810.3,3347
2021-10-01,"GU",125.5,84
2021-10-01,"HI",330.2,359
2021-10-01,"IA",1489.9,1761
2021-10-01,"ID",1370.5,1778
2021-10-01,"IL",2910.5,3356
2021-10-01,"IN",2876.1,3174
2021-10-01,"KS",1065.2,1184
2021-10-01,"KY",3173.3,4056
2021-10-01,"LA",1180.7,1373
2021-10-01,"MA",1667.4,1648
2021-10-01,"MD",1266,1530
2021-10-01,"ME",460.1,419
2021-10-01,"MI",3806.5,4774
2021-10-01,"MN",2439.9,3696
2021-10-01,"MO",1746.7,1724
2021-10-01,"MP",0.5,0
2021-10-01,"MS",1041,520
2021-10-01,"MT",949.2,972
2021-10-01,"NC",4710.9,4292
2021-10-01,"ND",623.6,711
2021-10-01,"NE",676.1,762
2021-10-01,"NH",515.1,495
2021-10-01,"NJ",1922.7,1673
2021-10-01,"NM",717.6,791
2021-10-01,"NV",878.2,1010
2021-10-01,"NY",4965.1,5371
2021-10-01,"OH",6128.8,6234
2021-10-01,"OK",1595.4,1537
2021-10-01,"OR",1686.8,1655
2021-10-01,"PA",4742,5352
2021-10-01,"PR",177.3,155
2021-10-01,"PW",0,0
2021-10-01,"RI",302.1,330
2021-10-01,"RMI",0,0
2021-10-01,"SC",2669.9,2857
2021-10-01,"SD",433.3,456
2021-10-01,"TN",3655,3301
2021-10-01,"TX",11291.8,10219
2021-10-01,"UT",1450.5,1715
2021-10-01,"VA",2962.1,3505
2021-10-01,"VI",27,28
2021-10-01,"VT",168.4,170
2021-10-01,"WA",3021.6,3301
2021-10-01,"WI",3035.6,4023
2021-10-01,"WV",1633.2,1645
2021-10-01,"WY",511.7,567
2021-10-02,"AK",1146.8,729
2021-10-02,"AL",1848,877
2021-10-02,"AR",926,642
2021-10-02,"AS",0.2,2
2021-10-02,"AZ",2730.4,2942
2021-10-02,"CA",7112.4,0
2021-10-02,"CO",1982.1,2226
2021-10-02,"CT",475.9,365
2021-10-02,"DC",163.5,153
2021-10-02,"DE",484.3,631
2021-10-02,"FL",5386.2,3113
2021-10-02,"FSM",0,0
2021-10-02,"GA",3597.7,2597
2021-10-02,"GU",126.4,110
2021-10-02,"HI",324.3,269
2021-10-02,"IA",1550.5,1109
2021-10-02,"ID",1326.3,912
2021-10-02,"IL",2792.3,2379
2021-10-02,"IN",2689,2028
2021-10-02,"KS",997.6,605
2021-10-02,"KY",2981.4,2375
2021-10-02,"LA",1047.6,575
2021-10-02,"MA",1581,1116
2021-10-02,"MD",1280.2,1287
2021-10-02,"ME",432.7,350
2021-10-02,"MI",3712.9,3271
2021-10-02,"MN",2393.9,1178
2021-10-02,"MO",1636.4,1010
2021-10-02,"MP",0.5,0
2021-10-02,"MS",885.9,520
2021-10-02,"MT",866.9,490
2021-10-02,"NC",4655.8,4755
2021-10-02,"ND",574,133
2021-10-02,"NE",647,392
2021-10-02,"NH",523.6,430
2021-10-02,"NJ",1881.1,1935
2021-10-02,"NM",704.9,587
2021-10-02,"NV",858.1,623
2021-10-02,"NY",4987.3,4779
